Track ID,Event,Zone,Start Time,End Time,Duration (sec)
8,IN RESTRICTED ZONE,Zone 1,12:34:50,12:35:20,30.09
16,IN RESTRICTED ZONE,Zone 1,12:35:49,12:36:02,13.6
